Time (s),Voltage (V)
0.005850,1.9905
0.005875,2.0993
0.005900,2.2048
0.005925,2.3080
0.005950,2.4039
0.005975,2.5119
0.006000,2.6126
0.006025,2.7085
0.006050,2.8012
0.006075,2.8801
0.006100,2.9591
0.006125,3.0333
0.006150,3.0953
0.006175,3.1501
0.006200,3.1904
0.006225,3.2186
0.006250,3.2371
0.006275,3.2460
0.006300,3.2468
0.006325,3.2388
0.006350,3.2170
0.006375,3.1840
0.006400,3.1421
0.006425,3.0905
0.006450,3.0333
0.006475,2.9599
0.006500,2.8793
0.006525,2.7923
0.006550,2.7004
0.006575,2.6142
0.006600,2.5111
0.006625,2.4071
0.006650,2.3015
0.006675,2.1919
0.006700,2.0977
0.006725,1.9953
0.006750,1.8954
0.006775,1.7834
0.006800,1.6762
0.006825,1.5747
0.006850,1.4683
0.006875,1.3595
0.006900,1.2386
0.006925,1.1056
0.006950,0.9606
0.006975,0.8212
0.007000,0.6834
0.007025,0.5585
0.007050,0.4505
0.007075,0.3586
0.007100,0.2748
0.007125,0.2023
0.007150,0.1418
0.007175,0.0927
0.007200,0.0572
0.007225,0.0330
0.007250,0.0201
0.007275,0.0153
0.007300,0.0210
0.007325,0.0387
0.007350,0.0685
0.007375,0.1136
0.007400,0.1676
0.007425,0.2313
0.007450,0.3103
0.007475,0.3989
0.007500,0.5061
0.007525,0.6245
0.007550,0.7478
0.007575,0.8760
0.007600,1.0009
0.007625,1.1137
0.007650,1.2168
0.007675,1.2974
0.007700,1.3764
0.007725,1.4651
0.007750,1.5593
0.007775,1.6722
0.007800,1.7705
0.007825,1.8696
0.007850,1.9744
0.007875,2.0791
0.007900,2.1992
0.007925,2.3120
0.007950,2.4160
0.007975,2.5175
0.008000,2.6166
0.008025,2.7093
0.008050,2.8004
0.008075,2.8850
0.008100,2.9607
0.008125,3.0333
0.008150,3.0945
0.008175,3.1477
0.008200,3.1888
0.008225,3.2178
0.008250,3.2379
0.008275,3.2468
0.008300,3.2476
0.008325,3.2371
0.008350,3.2170
0.008375,3.1840
0.008400,3.1404
0.008425,3.0889
0.008450,3.0268
0.008475,2.9567
0.008500,2.8793
0.008525,2.7963
0.008550,2.7093
0.008575,2.6150
0.008600,2.5127
0.008625,2.4079
0.008650,2.3032
0.008675,2.2024
0.008700,2.0952
0.008725,1.9840
0.008750,1.8728
0.008775,1.7640
0.008800,1.6714
0.008825,1.5851
0.008850,1.4836
0.008875,1.3764
0.008900,1.2459
0.008925,1.1048
0.008950,0.9614
0.008975,0.8115
0.009000,0.6810
0.009025,0.5601
0.009050,0.4545
0.009075,0.3642
0.009100,0.2772
0.009125,0.2031
0.009150,0.1410
0.009175,0.0911
0.009200,0.0572
0.009225,0.0338
0.009250,0.0210
0.009275,0.0169
0.009300,0.0218
0.009325,0.0403
0.009350,0.0701
0.009375,0.1136
0.009400,0.1668
0.009425,0.2297
0.009450,0.3054
0.009475,0.3989
0.009500,0.5053
0.009525,0.6221
0.009550,0.7446
0.009575,0.8744
0.009600,0.9864
0.009625,1.0903
0.009650,1.1870
0.009675,1.2692
0.009700,1.3675
0.009725,1.4731
0.009750,1.5827
0.009775,1.6778
0.009800,1.7761
0.009825,1.8712
0.009850,1.9727
0.009875,2.0928
0.009900,2.2008
0.009925,2.3064
0.009950,2.4047
0.009975,2.5046
0.010000,2.6110
0.010025,2.7117
0.010050,2.8068
0.010075,2.8882
0.010100,2.9623
0.010125,3.0325
0.010150,3.0937
0.010175,3.1477
0.010200,3.1896
0.010225,3.2178
0.010250,3.2363
0.010275,3.2460
0.010300,3.2452
0.010325,3.2379
0.010350,3.2178
0.010375,3.1840
0.010400,3.1404
0.010425,3.0881
0.010450,3.0284
0.010475,2.9599
0.010500,2.8793
0.010525,2.7907
0.010550,2.6988
0.010575,2.6062
0.010600,2.5111
0.010625,2.4152
0.010650,2.3168
0.010675,2.2048
0.010700,2.0985
0.010725,1.9856
0.010750,1.8744
0.010775,1.7793
0.010800,1.6705
0.010825,1.5714
0.010850,1.4691
0.010875,1.3538
0.010900,1.2322
0.010925,1.0968
0.010950,0.9485
0.010975,0.8067
0.011000,0.6785
0.011025,0.5593
0.011050,0.4569
0.011075,0.3610
0.011100,0.2756
0.011125,0.2023
0.011150,0.1410
0.011175,0.0927
0.011200,0.0572
0.011225,0.0338
0.011250,0.0201
0.011275,0.0161
0.011300,0.0210
0.011325,0.0387
0.011350,0.0693
0.011375,0.1120
0.011400,0.1668
0.011425,0.2321
0.011450,0.3119
0.011475,0.4037
0.011500,0.5053
0.011525,0.6165
0.011550,0.7325
0.011575,0.8518
0.011600,0.9743
0.011625,1.0847
0.011650,1.1886
0.011675,1.2902
0.011700,1.3700
0.011725,1.4626
0.011750,1.5601
0.011775,1.6544
0.011800,1.7689
0.011825,1.8777
0.011850,1.9905
0.011875,2.0985
0.011900,2.2048
0.011925,2.3080
0.011950,2.4039
0.011975,2.5127
0.012000,2.6126
0.012025,2.7085
0.012050,2.8012
0.012075,2.8810
0.012100,2.9591
0.012125,3.0333
0.012150,3.0961
0.012175,3.1493
0.012200,3.1904
0.012225,3.2186
0.012250,3.2371
0.012275,3.2468
0.012300,3.2468
0.012325,3.2371
0.012350,3.2170
0.012375,3.1823
0.012400,3.1404
0.012425,3.0905
0.012450,3.0333
0.012475,2.9607
0.012500,2.8810
0.012525,2.7931
0.012550,2.7012
0.012575,2.6150
0.012600,2.5111
0.012625,2.4071
0.012650,2.3023
0.012675,2.1911
0.012700,2.0977
0.012725,1.9961
0.012750,1.8954
0.012775,1.7842
0.012800,1.6762
0.012825,1.5747
0.012850,1.4683
0.012875,1.3595
0.012900,1.2386
0.012925,1.1064
0.012950,0.9598
0.012975,0.8220
0.013000,0.6842
0.013025,0.5585
0.013050,0.4513
0.013075,0.3586
0.013100,0.2756
0.013125,0.2031
0.013150,0.1418
0.013175,0.0919
0.013200,0.0572
0.013225,0.0338
0.013250,0.0201
0.013275,0.0161
0.013300,0.0218
0.013325,0.0395
0.013350,0.0693
0.013375,0.1136
0.013400,0.1668
0.013425,0.2321
0.013450,0.3103
0.013475,0.3989
0.013500,0.5061
0.013525,0.6237
0.013550,0.7470
0.013575,0.8760
0.013600,1.0009
0.013625,1.1137
0.013650,1.2185
0.013675,1.2974
0.013700,1.3764
0.013725,1.4651
0.013750,1.5585
0.013775,1.6722
0.013800,1.7705
0.013825,1.8688
0.013850,1.9736
0.013875,2.0791
0.013900,2.1984
0.013925,2.3120
0.013950,2.4160
0.013975,2.5175
0.014000,2.6150
0.014025,2.7093
0.014050,2.7996
0.014075,2.8842
0.014100,2.9599
0.014125,3.0316
0.014150,3.0937
0.014175,3.1461
0.014200,3.1896
0.014225,3.2186
0.014250,3.2371
0.014275,3.2468
0.014300,3.2460
0.014325,3.2379
0.014350,3.2170
0.014375,3.1840
0.014400,3.1404
0.014425,3.0873
0.014450,3.0276
0.014475,2.9551
0.014500,2.8785
0.014525,2.7963
0.014550,2.7093
0.014575,2.6158
0.014600,2.5135
0.014625,2.4079
0.014650,2.3032
0.014675,2.2032
0.014700,2.0960
0.014725,1.9848
0.014750,1.8736
0.014775,1.7640
0.014800,1.6722
0.014825,1.5851
0.014850,1.4836
0.014875,1.3756
0.014900,1.2459
0.014925,1.1048
0.014950,0.9606
0.014975,0.8123
0.015000,0.6818
0.015025,0.5601
0.015050,0.4561
0.015075,0.3642
0.015100,0.2772
0.015125,0.2023
0.015150,0.1402
0.015175,0.0919
0.015200,0.0564
0.015225,0.0338
0.015250,0.0210
0.015275,0.0161
0.015300,0.0218
0.015325,0.0395
0.015350,0.0709
0.015375,0.1136
0.015400,0.1668
0.015425,0.2297
0.015450,0.3046
0.015475,0.3997
0.015500,0.5045
0.015525,0.6221
0.015550,0.7462
0.015575,0.8744
0.015600,0.9880
0.015625,1.0911
0.015650,1.1870
0.015675,1.2692
0.015700,1.3675
0.015725,1.4739
0.015750,1.5827
0.015775,1.6778
0.015800,1.7761
0.015825,1.8712
0.015850,1.9719
0.015875,2.0928
0.015900,2.2000
0.015925,2.3064
0.015950,2.4047
0.015975,2.5038
0.016000,2.6126
0.016025,2.7117
0.016050,2.8084
0.016075,2.8882
0.016100,2.9623
0.016125,3.0333
0.016150,3.0937
0.016175,3.1477
0.016200,3.1896
0.016225,3.2186
0.016250,3.2363
0.016275,3.2468
0.016300,3.2468
0.016325,3.2388
0.016350,3.2194
0.016375,3.1840
0.016400,3.1412
0.016425,3.0881
0.016450,3.0276
0.016475,2.9599
0.016500,2.8785
0.016525,2.7915
0.016550,2.6996
0.016575,2.6070
0.016600,2.5111
0.016625,2.4144
0.016650,2.3177
0.016675,2.2056
0.016700,2.1001
0.016725,1.9873
0.016750,1.8752
0.016775,1.7793
0.016800,1.6714
0.016825,1.5714
0.016850,1.4691
0.016875,1.3530
0.016900,1.2305
0.016925,1.0976
0.016950,0.9485
0.016975,0.8075
0.017000,0.6785
0.017025,0.5593
0.017050,0.4569
0.017075,0.3602
0.017100,0.2756
0.017125,0.2023
0.017150,0.1410
0.017175,0.0927
0.017200,0.0572
0.017225,0.0338
0.017250,0.0210
0.017275,0.0161
0.017300,0.0218
0.017325,0.0395
0.017350,0.0701
0.017375,0.1128
0.017400,0.1676
0.017425,0.2321
0.017450,0.3119
0.017475,0.4037
0.017500,0.5053
0.017525,0.6165
0.017550,0.7325
0.017575,0.8510
0.017600,0.9735
0.017625,1.0839
0.017650,1.1886
0.017675,1.2894
0.017700,1.3692
0.017725,1.4626
0.017750,1.5593
0.017775,1.6552
0.017800,1.7689
0.017825,1.8777
0.017850,1.9913
0.017875,2.0985
0.017900,2.2040
0.017925,2.3072
0.017950,2.4031
0.017975,2.5119
0.018000,2.6126
0.018025,2.7077
0.018050,2.8004
0.018075,2.8810
0.018100,2.9591
0.018125,3.0341
0.018150,3.0961
0.018175,3.1501
0.018200,3.1912
0.018225,3.2186
0.018250,3.2371
0.018275,3.2468
0.018300,3.2468
0.018325,3.2379
0.018350,3.2162
0.018375,3.1832
0.018400,3.1396
0.018425,3.0897
0.018450,3.0325
0.018475,2.9591
0.018500,2.8801
0.018525,2.7915
0.018550,2.6996
0.018575,2.6142
0.018600,2.5103
0.018625,2.4071
0.018650,2.3015
0.018675,2.1911
0.018700,2.0968
0.018725,1.9953
0.018750,1.8962
0.018775,1.7842
0.018800,1.6778
0.018825,1.5755
0.018850,1.4699
0.018875,1.3603
0.018900,1.2394
0.018925,1.1064
0.018950,0.9598
0.018975,0.8212
0.019000,0.6834
0.019025,0.5585
0.019050,0.4505
0.019075,0.3586
0.019100,0.2748
0.019125,0.2023
0.019150,0.1426
0.019175,0.0919
0.019200,0.0580
0.019225,0.0338
0.019250,0.0201
0.019275,0.0161
0.019300,0.0210
0.019325,0.0387
0.019350,0.0685
0.019375,0.1128
0.019400,0.1668
0.019425,0.2313
0.019450,0.3095
0.019475,0.3989
0.019500,0.5061
0.019525,0.6237
0.019550,0.7478
0.019575,0.8768
0.019600,1.0009
0.019625,1.1145
0.019650,1.2185
0.019675,1.2982
0.019700,1.3772
0.019725,1.4659
0.019750,1.5585
0.019775,1.6714
0.019800,1.7697
0.019825,1.8688
0.019850,1.9736
0.019875,2.0791
0.019900,2.1992
0.019925,2.3120
0.019950,2.4160
0.019975,2.5175
0.020000,2.6150
0.020025,2.7093
0.020050,2.8004
0.020075,2.8850
0.020100,2.9607
0.020125,3.0333
0.020150,3.0937
0.020175,3.1469
0.020200,3.1888
0.020225,3.2178
0.020250,3.2371
0.020275,3.2460
0.020300,3.2460
0.020325,3.2371
0.020350,3.2162
0.020375,3.1840
0.020400,3.1388
0.020425,3.0873
0.020450,3.0268
0.020475,2.9559
0.020500,2.8793
0.020525,2.7963
0.020550,2.7093
0.020575,2.6158
0.020600,2.5135
0.020625,2.4079
0.020650,2.3032
0.020675,2.2024
0.020700,2.0952
0.020725,1.9840
0.020750,1.8728
0.020775,1.7640
0.020800,1.6714
0.020825,1.5851
0.020850,1.4836
0.020875,1.3764
0.020900,1.2459
0.020925,1.1048
0.020950,0.9614
0.020975,0.8115
0.021000,0.6818
0.021025,0.5601
0.021050,0.4553
0.021075,0.3634
0.021100,0.2756
0.021125,0.2015
0.021150,0.1394
0.021175,0.0919
0.021200,0.0572
0.021225,0.0338
0.021250,0.0201
0.021275,0.0153
0.021300,0.0210
0.021325,0.0379
0.021350,0.0701
0.021375,0.1144
0.021400,0.1668
0.021425,0.2305
0.021450,0.3054
0.021475,0.3997
0.021500,0.5053
0.021525,0.6221
0.021550,0.7454
0.021575,0.8736
0.021600,0.9864
0.021625,1.0903
0.021650,1.1870
0.021675,1.2692
0.021700,1.3684
0.021725,1.4739
0.021750,1.5819
0.021775,1.6786
0.021800,1.7753
0.021825,1.8720
0.021850,1.9736
0.021875,2.0936
0.021900,2.2016
0.021925,2.3064
0.021950,2.4055
0.021975,2.5046
0.022000,2.6118
0.022025,2.7117
0.022050,2.8068
0.022075,2.8882
0.022100,2.9623
0.022125,3.0341
0.022150,3.0937
0.022175,3.1493
0.022200,3.1912
0.022225,3.2194
0.022250,3.2371
0.022275,3.2468
0.022300,3.2452
0.022325,3.2371
0.022350,3.2178
0.022375,3.1832
0.022400,3.1412
0.022425,3.0881
0.022450,3.0284
0.022475,2.9599
0.022500,2.8785
0.022525,2.7907
0.022550,2.6988
0.022575,2.6070
0.022600,2.5111
0.022625,2.4152
0.022650,2.3177
0.022675,2.2048
0.022700,2.0993
0.022725,1.9864
0.022750,1.8744
0.022775,1.7801
0.022800,1.6714
0.022825,1.5722
0.022850,1.4699
0.022875,1.3538
0.022900,1.2314
0.022925,1.0968
0.022950,0.9485
0.022975,0.8067
0.023000,0.6785
0.023025,0.5593
0.023050,0.4569
0.023075,0.3610
0.023100,0.2772
0.023125,0.2031
0.023150,0.1418
0.023175,0.0935
0.023200,0.0572
0.023225,0.0338
0.023250,0.0210
0.023275,0.0169
0.023300,0.0226
0.023325,0.0395
0.023350,0.0709
0.023375,0.1120
0.023400,0.1668
0.023425,0.2321
0.023450,0.3111
0.023475,0.4037
0.023500,0.5053
0.023525,0.6165
0.023550,0.7333
0.023575,0.8518
0.023600,0.9751
0.023625,1.0855
0.023650,1.1886
0.023675,1.2894
0.023700,1.3692
0.023725,1.4626
0.023750,1.5593
0.023775,1.6544
0.023800,1.7681
0.023825,1.8777
0.023850,1.9905
0.023875,2.0977
0.023900,2.2040
0.023925,2.3072
0.023950,2.4039
0.023975,2.5127
0.024000,2.6134
0.024025,2.7085
0.024050,2.8012
0.024075,2.8801
0.024100,2.9599
0.024125,3.0341
0.024150,3.0969
0.024175,3.1501
0.024200,3.1904
0.024225,3.2186
0.024250,3.2363
0.024275,3.2468
0.024300,3.2468
0.024325,3.2379
0.024350,3.2170
0.024375,3.1832
0.024400,3.1404
0.024425,3.0905
0.024450,3.0325
0.024475,2.9591
0.024500,2.8793
0.024525,2.7915
0.024550,2.7004
0.024575,2.6142
0.024600,2.5103
0.024625,2.4063
0.024650,2.3015
0.024675,2.1903
0.024700,2.0968
0.024725,1.9953
0.024750,1.8946
0.024775,1.7842
0.024800,1.6770
0.024825,1.5755
0.024850,1.4691
0.024875,1.3603
0.024900,1.2394
0.024925,1.1073
0.024950,0.9606
0.024975,0.8228
0.025000,2.8052
0.025025,2.7480
0.025050,2.6924
0.025075,2.6037
0.025100,2.5151
0.025125,2.4192
0.025150,2.3112
0.025175,2.1992
0.025200,2.0936
0.025225,1.9816
0.025250,1.8825
0.025275,1.7858
0.025300,1.6778
0.025325,1.5755
0.025350,1.4707
0.025375,1.3547
0.025400,1.2314
0.025425,1.0968
0.025450,0.9485
0.025475,0.8067
0.025500,0.6785
0.025525,0.5593
0.025550,0.4569
0.025575,0.3610
0.025600,0.2764
0.025625,0.2023
0.025650,0.1410
0.025675,0.0927
0.025700,0.0572
0.025725,0.0338
0.025750,0.0201
0.025775,0.0161
0.025800,0.0210
0.025825,0.0387
0.025850,0.0693
0.025875,0.1128
0.025900,0.1676
0.025925,0.2321
0.025950,0.3111
0.025975,0.4037
0.026000,0.5045
0.026025,0.6165
0.026050,0.7325
0.026075,0.8518
0.026100,0.9751
0.026125,1.0847
0.026150,1.1895
0.026175,1.2902
0.026200,1.3700
0.026225,1.4626
0.026250,1.5601
0.026275,1.6544
0.026300,1.7689
0.026325,1.8785
0.026350,1.9913
0.026375,2.0985
0.026400,2.2048
0.026425,2.3088
0.026450,2.4031
0.026475,2.5127
0.026500,2.6126
0.026525,2.7077
0.026550,2.8004
0.026575,2.8801
0.026600,2.9591
0.026625,3.0333
0.026650,3.0961
0.026675,3.1493
0.026700,3.1896
0.026725,3.2178
0.026750,3.2355
0.026775,3.2452
0.026800,3.2468
0.026825,3.2371
0.026850,3.2162
0.026875,3.1823
0.026900,3.1396
0.026925,3.0897
0.026950,3.0325
0.026975,2.9591
0.027000,2.8801
0.027025,2.7915
0.027050,2.7012
0.027075,2.6150
0.027100,2.5111
0.027125,2.4071
0.027150,2.3015
0.027175,2.1911
0.027200,2.0968
0.027225,1.9961
0.027250,1.8954
0.027275,1.7842
0.027300,1.6770
0.027325,1.5747
0.027350,1.4691
0.027375,1.3587
0.027400,1.2386
0.027425,1.1064
0.027450,0.9606
0.027475,0.8220
0.027500,0.6842
0.027525,0.5585
0.027550,0.4513
0.027575,0.3586
0.027600,0.2756
0.027625,0.2031
0.027650,0.1426
0.027675,0.0927
0.027700,0.0572
0.027725,0.0338
0.027750,0.0210
0.027775,0.0161
0.027800,0.0218
0.027825,0.0387
0.027850,0.0693
0.027875,0.1136
0.027900,0.1676
0.027925,0.2321
0.027950,0.3103
0.027975,0.3981
0.028000,0.5061
0.028025,0.6237
0.028050,0.7478
0.028075,0.8768
0.028100,1.0009
0.028125,1.1137
0.028150,1.2177
0.028175,1.2974
0.028200,1.3764
0.028225,1.4651
0.028250,1.5585
0.028275,1.6722
0.028300,1.7705
0.028325,1.8688
0.028350,1.9736
0.028375,2.0791
0.028400,2.1984
0.028425,2.3120
0.028450,2.4160
0.028475,2.5175
0.028500,2.6158
0.028525,2.7101
0.028550,2.7988
0.028575,2.8842
0.028600,2.9599
0.028625,3.0325
0.028650,3.0945
0.028675,3.1461
0.028700,3.1888
0.028725,3.2178
0.028750,3.2371
0.028775,3.2460
0.028800,3.2460
0.028825,3.2379
0.028850,3.2170
0.028875,3.1848
0.028900,3.1404
0.028925,3.0881
0.028950,3.0276
0.028975,2.9559
0.029000,2.8801
0.029025,2.7963
0.029050,2.7101
0.029075,2.6158
0.029100,2.5135
0.029125,2.4087
0.029150,2.3032
0.029175,2.2024
0.029200,2.0960
0.029225,1.9840
0.029250,1.8728
0.029275,1.7632
0.029300,1.6714
0.029325,1.5843
0.029350,1.4828
0.029375,1.3764
0.029400,1.2459
0.029425,1.1056
0.029450,0.9614
0.029475,0.8123
0.029500,0.6818
0.029525,0.5601
0.029550,0.4553
0.029575,0.3642
0.029600,0.2772
0.029625,0.2031
0.029650,0.1410
0.029675,0.0919
0.029700,0.0572
0.029725,0.0338
0.029750,0.0210
0.029775,0.0161
0.029800,0.0218
0.029825,0.0395
0.029850,0.0701
0.029875,0.1136
0.029900,0.1668
0.029925,0.2297
0.029950,0.3054
0.029975,0.3997
0.030000,0.5053
0.030025,0.6229
0.030050,0.7454
0.030075,0.8744
0.030100,0.9872
0.030125,1.0911
0.030150,1.1878
0.030175,1.2700
0.030200,1.3684
0.030225,1.4747
0.030250,1.5827
0.030275,1.6794
0.030300,1.7769
0.030325,1.8720
0.030350,1.9727
0.030375,2.0928
0.030400,2.2008
0.030425,2.3072
0.030450,2.4047
0.030475,2.5046
0.030500,2.6118
0.030525,2.7117
0.030550,2.8076
0.030575,2.8882
0.030600,2.9623
0.030625,3.0325
0.030650,3.0937
0.030675,3.1477
0.030700,3.1896
0.030725,3.2178
0.030750,3.2363
0.030775,3.2460
0.030800,3.2468
0.030825,3.2388
0.030850,3.2186
0.030875,3.1848
0.030900,3.1404
0.030925,3.0881
0.030950,3.0276
0.030975,2.9591
0.031000,2.8777
0.031025,2.7899
0.031050,2.6988
0.031075,2.6062
0.031100,2.5119
0.031125,2.4152
0.031150,2.3177
0.031175,2.2056
0.031200,2.0993
0.031225,1.9873
0.031250,1.8744
0.031275,1.7793
0.031300,1.6714
0.031325,1.5714
0.031350,1.4691
0.031375,1.3530
0.031400,1.2314
0.031425,1.0968
0.031450,0.9485
0.031475,0.8067
0.031500,0.6785
0.031525,0.5593
0.031550,0.4569
0.031575,0.3610
0.031600,0.2756
0.031625,0.2023
0.031650,0.1410
0.031675,0.0927
0.031700,0.0572
0.031725,0.0338
0.031750,0.0210
0.031775,0.0161
0.031800,0.0218
0.031825,0.0395
0.031850,0.0693
0.031875,0.1128
0.031900,0.1668
0.031925,0.2321
0.031950,0.3103
0.031975,0.4037
0.032000,0.5053
0.032025,0.6165
0.032050,0.7341
0.032075,0.8518
0.032100,0.9751
0.032125,1.0863
0.032150,1.1895
0.032175,1.2910
0.032200,1.3692
0.032225,1.4626
0.032250,1.5593
0.032275,1.6544
0.032300,1.7689
0.032325,1.8768
0.032350,1.9905
0.032375,2.0985
0.032400,2.2040
0.032425,2.3072
0.032450,2.4031
0.032475,2.5127
0.032500,2.6126
0.032525,2.7093
0.032550,2.8012
0.032575,2.8810
0.032600,2.9599
0.032625,3.0333
0.032650,3.0969
0.032675,3.1493
0.032700,3.1904
0.032725,3.2186
0.032750,3.2371
0.032775,3.2476
0.032800,3.2476
0.032825,3.2388
0.032850,3.2170
0.032875,3.1840
0.032900,3.1404
0.032925,3.0905
0.032950,3.0333
0.032975,2.9591
0.033000,2.8801
0.033025,2.7915
0.033050,2.7004
0.033075,2.6142
0.033100,2.5103
0.033125,2.4063
0.033150,2.3015
0.033175,2.1911
0.033200,2.0968
0.033225,1.9961
0.033250,1.8946
0.033275,1.7834
0.033300,1.6754
0.033325,1.5747
0.033350,1.4691
0.033375,1.3587
0.033400,1.2394
0.033425,1.1064
0.033450,0.9606
0.033475,0.8220
0.033500,0.6834
0.033525,0.5577
0.033550,0.4505
0.033575,0.3578
0.033600,0.2748
0.033625,0.2023
0.033650,0.1418
0.033675,0.0927
0.033700,0.0572
0.033725,0.0338
0.033750,0.0210
0.033775,0.0161
0.033800,0.0218
0.033825,0.0387
0.033850,0.0693
0.033875,0.1136
0.033900,0.1668
0.033925,0.2321
0.033950,0.3095
0.033975,0.3989
0.034000,0.5069
0.034025,0.6237
0.034050,0.7478
0.034075,0.8760
0.034100,1.0009
0.034125,1.1137
0.034150,1.2177
0.034175,1.2982
0.034200,1.3764
0.034225,1.4659
0.034250,1.5585
0.034275,1.6714
0.034300,1.7697
0.034325,1.8688
0.034350,1.9736
0.034375,2.0791
0.034400,2.1992
0.034425,2.3112
0.034450,2.4168
0.034475,2.5167
0.034500,2.6150
0.034525,2.7093
0.034550,2.7996
0.034575,2.8850
0.034600,2.9607
0.034625,3.0333
0.034650,3.0937
0.034675,3.1469
0.034700,3.1888
0.034725,3.2178
0.034750,3.2371
0.034775,3.2460
0.034800,3.2468
0.034825,3.2379
0.034850,3.2170
0.034875,3.1840
0.034900,3.1396
